0       269 999,8367
1       269 996,3758
2       269 850,6915
3       258 596,3428
4       73 167,9967
5       27 888,5881
6       28 038,7204
7       27 195,1970
8       25 149,4968
9       23 789,8987
10       21 636,4786
11       20 031,5068
12       18 476,2249
13       16 552,7241
14       14 214,8201
15       12 349,7176
16       11 026,2981
17       9 727,8184
18       8 822,6551
19       7 927,1138
20       7 217,0660
21       6 698,2656
22       6 135,3012
23       5 714,2968
24       5 306,7819
25       4 975,7596
26       4 711,2486
27       4 453,6552
28       4 226,0604
29       4 039,0870
30       3 859,9239
31       3 696,1406
32       3 547,2353
33       3 409,3813
34       3 285,0930
35       3 175,5344
36       3 072,7073
37       2 977,3447
38       2 898,4316
39       2 814,4759
40       2 741,4472
41       2 670,6437
42       2 606,9953
43       2 548,8005
44       2 497,0846
45       2 448,7297
46       2 400,2958
47       2 358,1031
48       2 315,3661
49       2 276,6261
50       2 242,5703
51       2 209,0932
52       2 174,8206
53       2 143,8940
54       2 113,3468
55       2 084,5059
56       2 057,3345
57       2 031,3116
58       2 006,4050
59       1 983,2801
60       1 964,2313
61       1 942,8328
62       1 917,3096
63       1 893,5312
64       1 871,3601
65       1 852,6123
66       1 833,7124
67       1 815,2724
68       1 796,0360
69       1 778,8134
70       1 762,6715
71       1 746,3479
72       1 729,0320
73       1 712,6211
74       1 696,4902
75       1 680,4519
76       1 664,6204
77       1 648,9901
78       1 634,3991
79       1 620,0487
